text,star,length
thái_độ dịch_vụ khách_hàng tiki điện_thoại tuần hàng đầu trễ lịch hẹn giao tiki gửi thông_báo xin_lỗi hẹn giao làm_việc kiên_nhẫn đợi làm_việc tiki giao hàng mà_lại âm_thầm_hủy_đơn hề điện_thoại thông_báo xin_lỗi gọi tổng_đài trúng chăm sóc hàng thái_độ tệ giọng buồn_ngủ nói_chuyện khách_hàng hoàn_cảnh giao hàng giải_thích lý_do vì_sao hủy_đơn ý_kiến làm_khách nguôi giận dễ_tính mã bù giá điện_thoại đầu mua tặng mã chờ cuối_cùng cầm điện_thoại thất_vọng thái_độ phục_vụ tiki khách_hàng trung_thành tiki bao thái_độ dịch_vụ khách_hàng tệ mua ưu_tiên tiki để_tâm điện_thoại mua lớn_tuổi sử_dụng phù_hợp nhu_cầu,1,1223
sản_phẩm tầm giá đx mua pa mẹ yêu_cầu hơi thất_vọng nhạc vẻ hơi tệ phụ_kiện sạc tai_nghe sản phẩm khuyến_mãi ít_nhất tặng oF lưng kèm máy mấy sản phẩm hứng_thú thua mấy sản phẩm tầm giá,3,318
sản_phẩm mua giao hàng khui kiểm_tra góc màn_hình chết gọi tổng_đài liền sản phẩm tặng y c hỗ_trợ dùm sản phẩm tiki giao lỗi tiki hỗ_trợ tại_sao linh_động rõ_ràng sản phẩm lỗi sản_xuất,1,351
điện_thoại ổn gói dịch_vụ bảo_vệ thiết_bị di_động bolTech mua gửi yêu_cầu bolTech tuy_nhiên thây phản_hồi liên_hệ gọi bảo_hành samsung hỗ_trợ,3,227
đóng_gói cẩn_thận giao sản_phẩm thắc_mắc điện_thoại sim hộp imei bộ_phận kỹ_thuật giải_đáp giúp cảm_ơn,4,167
máy mua không_kích_hoạt kích_hoạt lỗi cảm_ứng nhảy loạn_xạ chất_lượng kém,1,137
điện_thoại sử_dụng sập sạc vui_lòng liên_hệ hỗ_trợ_giúp ak cảm_ơn,2,122
hàng hãng đặt_hàng hãng đặt_hàng tối chiều hàng giao hàng thiệt rẻ hơi thế_giới di_dộng,4,130
chào đổi màu đen khay sim đc,4,111
điện_thoại mẫu giá đong đơ lướt mấy cảm_ứng nhảyvtung toé,3,112
sản_phẩm giá tiền giao hàng mẹ,5,67
máy mua trưa tối đơ giật màn_hình đổi lí_do lỗi giải_trình,1,115
mua hai tuần hư màn_hình,1,75
trước_mắt vấn_đề kích_hoạt bao hành,4,68
yêu_cầu hàng thông_tin sản_phẩm sai_lệch chip helio website tiki ghi chip exynos,1,110
giao hàng dự_tính_chất_lượng mẫu_mã đẹp cảm_ơn tikit ban san phẩm đẹp rẻ,5,87
máy hơi giật chậm một_chút giao hàng,3,51
sản_phẩm phù_hợp giá phụ_kiện đi kèm tai_nghe ốp dán màn_hình,4,86
tiền giá triệu sản phẩm,4,53
